fold,alpha,qbuf,tau_val,theta,delta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,accepted,skipped,days,status,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
1,0.9,0.0,0.04532113678269657,0.0,0.0,0.2937788211684964,0.03342433869963912,8.789368244753584,0.3230651669460909,0.0211222329741928,15.29502905023407,0.3153797535468348,0.0430707078224114,7.322372198924722,-0.056902865417683676,0.061955876688217434,0.0442026590115165,0.10353800777103762,23.0,272.0,259.0,ok,8.534044001013044,14.603641835024971,7.156221652207134
2,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
3,0.9,0.0,0.05704693881754491,0.0,0.0,0.053256805640346405,0.0918181528252523,0.5800247990362473,0.05138463494457879,0.08057946828080409,0.6376889304545065,0.04186681624657895,0.08037399055004824,0.5209000568474801,-0.013167618545455303,0.03491722983503038,0.04718446752294595,0.107141632955568,25.0,300.0,258.0,ok,0.573775754195544,0.6298721483168793,0.514498747862552
4,0.9,0.0,0.04211326643420057,0.0,0.0,0.23821698911184197,0.012076523945975137,19.72562553409542,0.21733879897050068,0.03905550777237188,5.564869370978901,0.24297250747368238,0.03905550777237188,6.221209794270367,-0.012682984271238484,0.04362576945907077,0.03755290862122671,0.09491957601778267,31.0,463.0,248.0,ok,18.217149304816857,5.42594042760854,6.065895078760471
5,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
6,0.9,0.0,0.04311892597944581,0.0,0.0,0.6233687073001031,0.016027073564830352,38.89473051824115,0.6611733591430333,0.01732924614642295,38.153613466879555,0.6525751641889506,0.03626392415806978,17.995161288791014,-0.01724923303672221,0.052252140457967604,0.05761977122470894,0.11272557866349178,24.0,436.0,258.0,ok,36.61044306448992,36.07204321777657,17.51225022412543
7,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
8,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
9,0.9,0.0,0.05225840296436678,0.0,0.0,-0.009202399980203113,0.07096710682402674,-0.1296713420066821,0.2697300535712157,0.09103104077781188,2.9630558023561604,0.02058927518628928,0.12679074944183044,0.16238783410405905,-0.034297250581864835,0.04071979075012954,0.039436627554057954,0.13392071679393674,9.0,68.0,259.0,ok,-0.12786952798734472,2.930859537081819,0.1611171017950825
10,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,
11,0.9,0.0,0.0397398374021938,0.002,0.0,0.13339741397929283,0.05948236431146936,2.242638057908724,0.3393456527670595,0.05201630631320742,6.523832175313389,0.42472375860657285,0.07141492883576839,5.947268526771235,-0.002528333350757972,0.10439190978004935,0.04543945819036657,0.07453878796959472,16.0,113.0,258.0,ok,2.2055588517064053,6.400778861550409,5.865140868532984
