tau_pct,tau_val,theta,acc_rate,n_trades,CAGR,MDD,Calmar,accepted,skipped,days,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,CAGR_minus_Rand,CAGR_minus_All
20,0.04163369468749139,-0.001,0.2,167,0.006993805030511169,0.08275966753853403,0.08450740848197291,36,131,1119,-0.004497942872000951,0.011060676874618737,0.05293837440333904,0.09118523519115165,-0.002117956836879764,0.10541748524041772,-0.02009113414202112,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.009111761867390933,-0.0009789420711907582
20,0.04163369468749139,0.0,0.2,167,0.006993805030511169,0.08275966753853403,0.08450740848197291,36,131,1119,-0.004497942872000951,0.011060676874618737,0.05293837440333904,0.09118523519115165,-0.002117956836879764,0.10541748524041772,-0.02009113414202112,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.009111761867390933,-0.0009789420711907582
20,0.04163369468749139,0.001,0.2,167,0.006993805030511169,0.08275966753853403,0.08450740848197291,36,131,1119,-0.004497942872000951,0.011060676874618737,0.05293837440333904,0.09118523519115165,-0.002117956836879764,0.10541748524041772,-0.02009113414202112,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.009111761867390933,-0.0009789420711907582
30,0.04419387065026608,-0.001,0.3017964071856287,252,0.006993805030511169,0.10527282776669533,0.06643504481527536,45,207,1119,-0.004536156355617843,0.01165782088283321,0.06177653911330588,0.11461851016417982,-0.0006085725036801826,0.16872861628044844,-0.0036068126266658737,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.007602377534191351,-0.0009789420711907582
30,0.04419387065026608,0.0,0.3017964071856287,252,0.006993805030511169,0.10527282776669533,0.06643504481527536,45,207,1119,-0.004536156355617843,0.01165782088283321,0.06177653911330588,0.11461851016417982,-0.0006085725036801826,0.16872861628044844,-0.0036068126266658737,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.007602377534191351,-0.0009789420711907582
30,0.04419387065026608,0.001,0.3017964071856287,252,0.006993805030511169,0.10527282776669533,0.06643504481527536,45,207,1119,-0.004536156355617843,0.01165782088283321,0.06177653911330588,0.11461851016417982,-0.0006085725036801826,0.16872861628044844,-0.0036068126266658737,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.007602377534191351,-0.0009789420711907582
40,0.047369639747462076,-0.001,0.4,334,0.007011681076235954,0.11394715547870493,0.06153449857329993,53,281,1119,-0.004536156355617843,0.01165782088283321,0.06830162938385889,0.11736930883459652,-0.00773133815511029,0.16486767214575104,-0.04689420342076166,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.014743019231346244,-0.0009610660254659731
40,0.047369639747462076,0.0,0.4,334,0.007011681076235954,0.11394715547870493,0.06153449857329993,53,281,1119,-0.004536156355617843,0.01165782088283321,0.06830162938385889,0.11736930883459652,-0.00773133815511029,0.16486767214575104,-0.04689420342076166,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.014743019231346244,-0.0009610660254659731
40,0.047369639747462076,0.001,0.4,334,0.007011681076235954,0.11394715547870493,0.06153449857329993,53,281,1119,-0.004536156355617843,0.01165782088283321,0.06830162938385889,0.11736930883459652,-0.00773133815511029,0.16486767214575104,-0.04689420342076166,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.014743019231346244,-0.0009610660254659731
50,0.050524105466901864,-0.001,0.5005988023952096,418,0.007011681076235954,0.13441522063083777,0.05216433855726099,63,355,1119,-0.004536156355617843,0.01165782088283321,0.07574057734179206,0.13681236046176268,-0.00773133815511029,0.1628178588574396,-0.04748458313703604,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.014743019231346244,-0.0009610660254659731
50,0.050524105466901864,0.0,0.5005988023952096,418,0.007011681076235954,0.13441522063083777,0.05216433855726099,63,355,1119,-0.004536156355617843,0.01165782088283321,0.07574057734179206,0.13681236046176268,-0.00773133815511029,0.1628178588574396,-0.04748458313703604,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.014743019231346244,-0.0009610660254659731
50,0.050524105466901864,0.001,0.5005988023952096,418,0.007011681076235954,0.13441522063083777,0.05216433855726099,63,355,1119,-0.004536156355617843,0.01165782088283321,0.07574057734179206,0.13681236046176268,-0.00773133815511029,0.1628178588574396,-0.04748458313703604,0.007972747101701927,0.33880318913687524,0.023532089889747074,0.014743019231346244,-0.0009610660254659731
