outdir,n_folds,acc_rate_med,Gate_Calmar_med,Rand_Calmar_med,All_Calmar_med,dCalmar_med,win_rate,tau_lo,tau_hi,thetas,mc,min_trades,dd_eps
reports/sweep_gate/a90_tau4050_t0001_mc1_m10_eps0001,11,0.08512166651701536,7.556483617222829,8.767250686053394,3.835360200034843,-0.24739469398654113,0.18181818181818182,40,50,[0.001],1,10,0.001
reports/sweep_gate/a90_tau4050_t0001_mc1_m10_eps0002,11,0.08512166651701536,7.239247956411848,8.435706430080492,3.7528484244222153,-0.2427584626778566,0.18181818181818182,40,50,[0.001],1,10,0.002
reports/sweep_gate/a90_tau4555_t0000010002_mc1_m0_eps0001,11,0.09091317230852114,5.369801426359724,5.913359644579474,5.965517973646728,-1.5574127295952493,0.18181818181818182,45,55,"[0.0, 0.001, 0.002]",1,0,0.001
reports/sweep_gate/a90_tau4555_t0000010002_mc1_m0_eps0002,11,0.09091317230852114,5.23141038204419,5.788030522661728,5.851698506798698,-1.5400286453377308,0.18181818181818182,45,55,"[0.0, 0.001, 0.002]",1,0,0.002
reports/sweep_gate/a90_tau4555_t0000010002_mc1_m10_eps0001,11,0.09091317230852114,5.369801426359724,5.913359644579474,5.965517973646728,-1.5574127295952493,0.18181818181818182,45,55,"[0.0, 0.001, 0.002]",1,10,0.001
reports/sweep_gate/a90_tau4555_t0000010002_mc1_m10_eps0002,11,0.09091317230852114,5.23141038204419,5.788030522661728,5.851698506798698,-1.5400286453377308,0.18181818181818182,45,55,"[0.0, 0.001, 0.002]",1,10,0.002
reports/sweep_gate/a90_tau4555_t00010002_mc1_m0_eps0001,11,0.09302325581395349,8.534044001013044,4.692224681556694,6.065895078760471,-0.05609639412133527,0.18181818181818182,45,55,"[0.001, 0.002]",1,0,0.001
reports/sweep_gate/a90_tau4555_t00010002_mc1_m0_eps0002,11,0.09302325581395349,8.293134944858949,4.577934908121854,5.918146447507578,-0.05458475610144131,0.18181818181818182,45,55,"[0.001, 0.002]",1,0,0.002
reports/sweep_gate/a90_tau4555_t00010002_mc1_m10_eps0001,11,0.09302325581395349,8.534044001013044,4.692224681556694,6.065895078760471,-0.05609639412133527,0.18181818181818182,45,55,"[0.001, 0.002]",1,10,0.001
reports/sweep_gate/a90_tau4555_t00010002_mc1_m10_eps0002,11,0.09302325581395349,8.293134944858949,4.577934908121854,5.918146447507578,-0.05458475610144131,0.18181818181818182,45,55,"[0.001, 0.002]",1,10,0.002
reports/sweep_gate/a90_tau4555_t0001_mc1_m0_eps0001,11,0.09496124031007752,7.447610954683418,5.929122547205337,6.4996074369579215,-0.06361157628483727,0.18181818181818182,45,55,[0.001],1,0,0.001
reports/sweep_gate/a90_tau4555_t0001_mc1_m0_eps0002,11,0.09496124031007752,7.2643606924432005,5.809341200915266,6.3678495372484125,-0.07195068734578852,0.18181818181818182,45,55,[0.001],1,0,0.002
reports/sweep_gate/a90_tau4555_t0001_mc1_m10_eps0001,11,0.09496124031007752,7.447610954683418,5.929122547205337,6.4996074369579215,-0.06361157628483727,0.18181818181818182,45,55,[0.001],1,10,0.001
