feature,gain,split
atr_14,832.5515218675137,153
rv_20,717.6559356749058,135
sma5_over_20,498.13526767492294,125
dist_sma20,454.9801458120346,84
ret_1,385.3050458729267,139
vol_z_60,379.3132968097925,99
ret_5,374.98508147895336,110
vol_ratio_20,334.5337278097868,90
ret_20,190.31944634020329,56
rsi_14,158.2845863699913,36
logret_1,0.0,0
