fold,alpha,qbuf,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,status
1,0.85,0.0,0.025576042275572558,0.003,-0.012678571160291918,0.042672592363438344,-0.2971127475057,0.07267080325352149,0.07615049344416946,0.9543050867661265,-0.04193139353979103,0.14208865797745296,-0.29510725301131935,-0.03093582667556033,0.020131630836182034,0.028223082282252808,0.061372070928760694,
1,0.85,0.002,0.02757604227557256,0.003,-0.012678571160291918,0.042672592363438344,-0.2971127475057,0.07267080325352149,0.07615049344416946,0.9543050867661265,-0.04193139353979103,0.14208865797745296,-0.29510725301131935,-0.03093582667556033,0.020131630836182034,0.028223082282252808,0.061372070928760694,
1,0.85,0.004,0.029576042275572558,0.003,-0.012678571160291918,0.042672592363438344,-0.2971127475057,0.07267080325352149,0.07615049344416946,0.9543050867661265,-0.04193139353979103,0.14208865797745296,-0.29510725301131935,-0.03093582667556033,0.020131630836182034,0.028223082282252808,0.061372070928760694,
1,0.9,0.0,,,,,,,,,,,,,,,,no_feasible_on_val
1,0.9,0.002,,,,,,,,,,,,,,,,no_feasible_on_val
1,0.9,0.004,,,,,,,,,,,,,,,,no_feasible_on_val
1,0.95,0.0,0.060978530517226966,0.0,-0.007979873007934568,0.05881771533551006,-0.1356712507858474,0.07267080325352149,0.07751986099776942,0.937447543354245,-0.04193139353979103,0.14208865797745296,-0.29510725301131935,-0.01392332487415704,0.025207797059897796,0.03207159317867536,0.0628786244875259,
1,0.95,0.002,0.06297853051722696,0.0,-0.007979873007934568,0.05881771533551006,-0.1356712507858474,0.07267080325352149,0.07751986099776942,0.937447543354245,-0.04193139353979103,0.14208865797745296,-0.29510725301131935,-0.01392332487415704,0.025207797059897796,0.03207159317867536,0.0628786244875259,
1,0.95,0.004,0.06497853051722696,0.0,-0.007979873007934568,0.05881771533551006,-0.1356712507858474,0.07267080325352149,0.07751986099776942,0.937447543354245,-0.04193139353979103,0.14208865797745296,-0.29510725301131935,-0.01392332487415704,0.025207797059897796,0.03207159317867536,0.0628786244875259,
2,0.85,0.0,,,,,,,,,,,,,,,,no_feasible_on_val
2,0.85,0.002,,,,,,,,,,,,,,,,no_feasible_on_val
2,0.85,0.004,,,,,,,,,,,,,,,,no_feasible_on_val
2,0.9,0.0,0.04331651927825937,0.0,-0.006627975474416181,0.006365799543573636,-1.0411850748751923,-0.0032790219648981545,0.03710593214259705,-0.08836921148610323,-0.006794612836266256,0.09258735038582955,-0.07338597343969537,-0.026273803753788072,0.0,0.0,0.01914919348805799,
2,0.9,0.002,0.04531651927825937,0.0,-0.006627975474416181,0.006365799543573636,-1.0411850748751923,-0.0032790219648981545,0.03710593214259705,-0.08836921148610323,-0.006794612836266256,0.09258735038582955,-0.07338597343969537,-0.026273803753788072,0.0,0.0,0.01914919348805799,
