fold,alpha,qbuf,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,status,mu_final,phi_final,db_iters
1,0.9,0.0,0.03610851103925833,0.010412780122233732,0.1614342709519092,0.015800459042596082,10.217062081342219,0.27829333004375245,0.08259450213690311,3.3693929116791828,0.41488010110643025,0.08428632977249928,4.922270339997604,-0.0139418874632977,0.024625323804108222,0.025996923155293783,0.05906935642635103,ok,5.341572709287933,0.0,2
1,0.9,0.002,0.03810851103925833,0.010412780122233732,0.1614342709519092,0.015800459042596082,10.217062081342219,0.27829333004375245,0.08259450213690311,3.3693929116791828,0.41488010110643025,0.08428632977249928,4.922270339997604,-0.0139418874632977,0.024625323804108222,0.025996923155293783,0.05906935642635103,ok,5.341572709287933,0.0,2
1,0.95,0.0,0.06167048223928981,0.010412780122233732,0.26425873459801896,0.015800459042596304,16.724750457287755,0.2511938029457046,0.08259450213690311,3.0412896312316597,0.41488010110643025,0.08428632977249928,4.922270339997604,-0.0139418874632977,0.024625323804108222,0.029597134792790046,0.05357809798393076,ok,3.22838741397203,0.0,2
1,0.95,0.002,0.06367048223928981,0.010412780122233732,0.26425873459801896,0.015800459042596304,16.724750457287755,0.2511938029457046,0.08259450213690311,3.0412896312316597,0.41488010110643025,0.08428632977249928,4.922270339997604,-0.0139418874632977,0.024625323804108222,0.029597134792790046,0.05357809798393076,ok,3.22838741397203,0.0,2
2,0.9,0.0,0.04568946731885431,0.012786577114409562,-0.026428407456938863,0.025393093104465803,-1.040771494367143,-0.07033110842683843,0.06763682428381712,-1.0398345749013227,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.026273803753788072,0.0,0.0,0.01914919348805799,ok,9.868906667322305,0.0,2
2,0.9,0.002,0.04768946731885431,0.012786577114409562,-0.026428407456938863,0.025393093104465803,-1.040771494367143,-0.07033110842683843,0.06763682428381712,-1.0398345749013227,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.026273803753788072,0.0,0.0,0.01914919348805799,ok,9.868906667322305,0.0,2
2,0.95,0.0,0.05425031448946237,0.012786577114409562,0.07278625930689753,0.024767143374558542,2.938823351814787,0.2115093276254847,0.07085625222672509,2.9850481923415786,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.024759526621957413,0.03938609776790951,0.006365799543573744,0.05627694879605294,ok,13.85437559243054,0.0,2
2,0.95,0.002,0.05625031448946237,0.012786577114409562,0.07278625930689753,0.024767143374558542,2.938823351814787,0.2115093276254847,0.07085625222672509,2.9850481923415786,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.024759526621957413,0.03938609776790951,0.006365799543573744,0.05627694879605294,ok,13.85437559243054,0.0,2
3,0.9,0.0,0.05589643285301989,0.013217950018122423,0.16148052716481764,0.03872149111708467,4.170307560639609,0.17721201092273842,0.06751825584058235,2.624653269201066,0.11068013125592757,0.0896620236845268,1.23441482477969,-0.0015369241967359447,0.034331118009296446,0.021676431685063086,0.05805394855547909,ok,33.101913710422735,0.0,2
3,0.9,0.002,0.05789643285301989,0.013217950018122423,0.16148052716481764,0.03872149111708467,4.170307560639609,0.17721201092273842,0.06751825584058235,2.624653269201066,0.11068013125592757,0.0896620236845268,1.23441482477969,-0.0015369241967359447,0.034331118009296446,0.021676431685063086,0.05805394855547909,ok,33.101913710422735,0.0,2
3,0.95,0.0,0.09154244998744451,0.013217950018122423,0.1353097717192666,0.05559946476322464,2.433652415459313,0.16614717483832608,0.08519486806957732,1.9502016800194617,0.11068013125592757,0.0896620236845268,1.23441482477969,0.0026541093682530548,0.03363298952801504,0.022140810777669828,0.055117767805219264,ok,49.48653551647433,0.0,2
3,0.95,0.002,0.09354244998744451,0.013217950018122423,0.1353097717192666,0.05559946476322464,2.433652415459313,0.16614717483832608,0.08519486806957732,1.9502016800194617,0.11068013125592757,0.0896620236845268,1.23441482477969,0.0026541093682530548,0.03363298952801504,0.022140810777669828,0.055117767805219264,ok,49.48653551647433,0.0,2
