fold,alpha,qbuf,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,accepted,skipped,days,status,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
6,0.9,0.0,0.040489288410659,0.008568746945517512,0.019585038800375543,0.001764302583014632,11.100725572203686,0.0019156112801566039,0.0037670827356111047,0.5085131956481569,0.02524597330688061,0.008212250551928313,3.0741844939147187,42,16,236,ok,7.084983720927151,0.4018414167319957,2.7404783624340423
6,0.9,0.0,0.040489288410659,0.008983783429726291,0.007236458892404096,0.001764302583014632,4.101597402889526,0.0028568402529578485,0.0004893915861506892,5.8375344689277,0.01625132150141395,0.006619540804754687,2.4550526963654256,22,6,236,ok,2.617824451226435,1.918125682676448,2.1328478864858798
6,0.9,0.0,0.04152145379273481,0.008568746945517512,0.022549828051719345,0.0019024631791292324,11.852964251345208,0.0005458477330273492,0.0028911712393336897,0.18879813329671452,0.02524597330688061,0.008212250551928313,3.0741844939147187,61,24,236,ok,7.769203831376258,0.1402785175603884,2.7404783624340423
6,0.9,0.0,0.04152145379273481,0.008983783429726291,0.010755553633742698,0.0019024631791290103,5.653488462608158,-0.0007739337096347443,0.002914551684484512,-0.2655412541677495,0.01625132150141395,0.006619540804754687,2.4550526963654256,35,8,236,ok,3.705664110085384,-0.19770685688025594,2.1328478864858798
7,0.9,0.0,0.030755465773693546,0.008263625256136671,0.005479548306372983,0.01065609822645941,0.5142171355709824,-0.00017602783507242314,0.0024156700404781573,-0.07286915519206433,0.024946598032904443,0.014530818693559877,1.7168060904896492,46,14,261,ok,0.47010141815160555,-0.05153537460772444,1.6062641979877712
7,0.9,0.0,0.030755465773693546,0.00907616800721819,0.0025538253974843883,0.01065609822645941,0.23965858264549061,0.0006798671852299432,0.0018971471491906478,0.358362916403182,0.02224417982485627,0.012426194618419983,1.7901039302798771,35,12,261,ok,0.2190977930923051,0.23466781292758018,1.6567747196468092
7,0.9,0.0,0.032465005258825286,0.008263625256136671,0.008854694443974687,0.01065609822645941,0.830950903022667,-0.0045195685044069345,0.008209271325971934,-0.5505444180055581,0.024946598032904443,0.014530818693559877,1.7168060904896492,59,16,261,ok,0.7596619616566441,-0.49076287845498406,1.6062641979877712
7,0.9,0.0,0.032465005258825286,0.00907616800721819,0.0043509630214133566,0.01065609822645941,0.408307330595901,0.011541916059374158,0.001475301658060979,7.8234278368153864,0.02224417982485627,0.012426194618419983,1.7901039302798771,45,14,261,ok,0.37327782735535336,4.662832112517344,1.6567747196468092
8,0.9,0.0,0.05234584680371724,0.013159345860034866,-0.0005233634257177933,0.017212516423339874,-0.030405979744374943,0.0018731264807307912,0.004640493732335549,0.4036481005627932,-0.0002896876995697184,0.014523190605677638,-0.01994656046560933,128,68,242,ok,-0.02873646966473494,0.3320855530771398,-0.01866160810160796
8,0.9,0.0,0.05234584680371724,0.01647861765271227,-0.004669560008617957,0.015516035426968777,-0.3009505895108803,-9.425838829524302e-05,0.0014660474639935916,-0.06429422689936527,-0.0005526503312449638,0.012348544595818467,-0.0447542888116633,75,36,242,ok,-0.28272886851484375,-0.03822245503036594,-0.04140154211404333
8,0.9,0.0,0.05241311429001195,0.013159345860034866,-0.002320251868340506,0.01670682745504748,-0.13888045917655717,-0.0010040243800348847,0.006425698057750839,-0.15625140973186644,-0.0002896876995697184,0.014523190605677638,-0.01994656046560933,132,72,242,ok,-0.1310371309728383,-0.13520942707694641,-0.01866160810160796
8,0.9,0.0,0.05241311429001195,0.01647861765271227,-0.004136248519293506,0.015009473541856888,-0.2755758559924676,-0.0040657506432033585,0.0039052022326532265,-1.0411114203530132,-0.0005526503312449638,0.012348544595818467,-0.0447542888116633,77,38,242,ok,-0.2583625569247642,-0.8288650396793512,-0.04140154211404333
9,0.9,0.0,0.05215400348578512,0.013183373485901108,0.002980514014452762,0.000706891788090025,4.216365311734508,-0.0024567825907712004,0.002818210079050476,-0.8717528224861614,-0.0016541439350608034,0.011917413665506915,-0.1388005805192836,9,2,259,ok,1.746164598862997,-0.6434382969787144,-0.12805535054419037
9,0.9,0.0,0.05215400348578512,0.013485839926157435,0.002980514014452762,0.000706891788090025,4.216365311734508,-0.0013920098735864528,0.0024812724727600877,-0.5610064549009508,-0.0010494069471009837,0.010778497219565142,-0.09736115580158047,9,2,259,ok,1.746164598862997,-0.39985662842495445,-0.08909514749961688
9,0.9,0.0,0.05221211344397804,0.013183373485901108,0.0003457807549478442,0.003016095653116002,0.1146451554315294,0.0008312552189893019,0.0011036048441515067,0.75321816807392,-0.0016541439350608034,0.011917413665506915,-0.1388005805192836,11,2,259,ok,0.08609873489431467,0.39515749419401547,-0.12805535054419037
9,0.9,0.0,0.05221211344397804,0.013485839926157435,0.0003457807549478442,0.003016095653116002,0.1146451554315294,-0.0012068262607493052,0.0012403284142175064,-0.9729892880916245,-0.0010494069471009837,0.010778497219565142,-0.09736115580158047,11,2,259,ok,0.08609873489431467,-0.5386827453915148,-0.08909514749961688
10,0.9,0.0,0.06049167276386115,0.01367881481509431,0.0,0.0,0.0,0.0,0.0,0.0,0.0034913741050597302,0.0014283611555795384,2.444321655921224,0,0,203,ok,0.0,0.0,1.4377491161221032
10,0.9,0.0,0.06049167276386115,0.013733942620319625,0.0,0.0,0.0,0.0,0.0,0.0,0.003137064016931701,0.0012821230168121867,2.446773028637733,0,0,203,ok,0.0,0.0,1.3746252913717814
10,0.9,0.0,0.06049421890886765,0.01367881481509431,0.0,0.0,0.0,0.0,0.0,0.0,0.0034913741050597302,0.0014283611555795384,2.444321655921224,0,0,203,ok,0.0,0.0,1.4377491161221032
10,0.9,0.0,0.06049421890886765,0.013733942620319625,0.0,0.0,0.0,0.0,0.0,0.0,0.003137064016931701,0.0012821230168121867,2.446773028637733,0,0,203,ok,0.0,0.0,1.3746252913717814
11,0.9,0.0,0.03773157364011408,0.012556091546437057,0.0034106506977391593,0.0016405887261398133,2.0789187706806773,0.0005232076851471312,0.00010893369517683826,4.802992171501925,0.012664845461961116,0.0025135003039534753,5.038728438600396,16,0,258,ok,1.2916251076800866,0.47181151354923606,3.6046234143513027
11,0.9,0.0,0.03928784908265838,0.012556091546437057,0.006738810690449348,0.0016405887261399243,4.107556380876045,0.000977069453664825,0.00021887970649292487,4.463956340769344,0.012664845461961116,0.0025135003039534753,5.038728438600396,23,0,258,ok,2.5520107026664096,0.8016127009581125,3.6046234143513027
