fold,alpha,qbuf,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,accepted,skipped,days,status,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
1,0.9,0.0,0.03610851103925833,0.010412780122233732,0.013635544630467233,0.005360030324386256,2.543930501368676,0.000485019801510278,0.00291169499093602,0.1665764453420168,0.009059238578323248,0.007587373806206665,1.1939886988186295,52,18,259,ok,2.14394333595934,0.12399223421921728,1.0549486703112345
1,0.9,0.0,0.03610851103925833,0.012673836410334252,0.0026581650152215364,0.007416069372599643,0.35843313778087516,-0.00018071105283534727,0.0019018595538564664,-0.09501808504677078,0.007840616400789813,0.006777787868129881,1.1568105336635721,40,14,259,ok,0.31584400003590446,-0.0622742243314942,1.0080779437193674
1,0.9,0.0,0.041538970200111866,0.010412780122233732,0.009687689330331706,0.007511029507634048,1.2897951366700593,0.007338876291075325,0.002298171349533029,3.193354704629195,0.009059238578323248,0.007587373806206665,1.1939886988186295,75,26,259,ok,1.1382511741549293,2.2251349348827487,1.0549486703112345
1,0.9,0.0,0.041538970200111866,0.012673836410334252,-0.001615730647764102,0.01009359849332514,-0.16007478887064697,0.0045904240201741775,0.0009303976962752314,4.933829950946302,0.007840616400789813,0.006777787868129881,1.1568105336635721,54,18,259,ok,-0.14564531506492362,2.3779680368618124,1.0080779437193674
2,0.9,0.0,0.04568946731885431,0.012786577114409562,-0.0029906891789892587,0.002872181636337956,-1.041260462483285,0.0020055377981502698,2.8650391929230246e-05,70.00036170898389,0.003909345982707091,0.0070675334194553185,0.5531414923268062,4,0,242,ok,-0.7723525030240181,1.9496787381657343,0.48457760004804923
2,0.9,0.0,0.04568946731885431,0.014064731792033991,-0.0029906891789892587,0.002872181636337956,-1.041260462483285,-0.0005219826259078575,0.0005364489880023138,-0.9730331076803264,0.0031577665973721025,0.005540697446960174,0.5699222214532877,4,0,242,ok,-0.7723525030240181,-0.33973313138533656,0.4827874432320199
2,0.9,0.0,0.047292107328397566,0.012786577114409562,-0.002746728469103621,0.002872181636337956,-0.9563212974948588,-0.0005137491097496616,0.0008591413552516691,-0.5979797231378399,0.003909345982707091,0.0070675334194553185,0.5531414923268062,6,0,242,ok,-0.7093490768427094,-0.2763367660551643,0.48457760004804923
2,0.9,0.0,0.047292107328397566,0.014064731792033991,-0.002746728469103621,0.002872181636337956,-0.9563212974948588,0.00014692739441857228,0.0003065635397440092,0.4792722400754557,0.0031577665973721025,0.005540697446960174,0.5699222214532877,6,0,242,ok,-0.7093490768427094,0.11245330973138841,0.4827874432320199
3,0.9,0.0,0.05523473024584273,0.013045260298901764,0.015680081987109684,0.004175790235238175,3.7549975223349166,0.0035131256857763304,0.0010725906889680337,3.2753647052039923,0.002932610864343932,0.005681141007895296,0.5162010343113068,63,16,258,ok,3.029504920882508,1.695040754779013,0.43893862753059415
3,0.9,0.0,0.05523473024584273,0.013217950018122423,0.015680081987109684,0.004175790235238175,3.7549975223349166,0.0012381697392118696,0.00100430587132605,1.232861197532415,0.002937354128032199,0.005495727310665943,0.5344795987842174,63,16,258,ok,3.029504920882508,0.6177548830871287,0.45219788139952893
