feature,gain,split
rv_20,394.07200688123703,61
atr_14,378.8896886110306,59
sma5_over_20,368.9284514337778,62
vol_z_60,351.1375602334738,59
rsi_14,290.4789481163025,52
dist_sma20,236.34520763158798,43
vol_ratio_20,228.64018559455872,43
ret_5,198.9590414315462,52
ret_1,134.79386387765408,48
ret_20,0.0,0
logret_1,0.0,0
