fold,alpha,qbuf,status,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high
6,0.9,0.0,,0.03951645420854091,0.0,0.01916666384263288,0.05923115003360091,0.323590945503505,0.01916666384263288,0.09669904878563074,0.19820943518403053,0.01916666384263288,0.2085335835383495,0.091911640884971,-0.018587920609432707,0.037070041448751,0.03151802469722803,0.0704888208949962
6,0.9,0.002,,0.041516454208540915,0.0,0.01916666384263288,0.05923115003360091,0.323590945503505,0.01916666384263288,0.09669904878563074,0.19820943518403053,0.01916666384263288,0.2085335835383495,0.091911640884971,-0.018587920609432707,0.037070041448751,0.03151802469722803,0.0704888208949962
6,0.95,0.0,,0.06510479367604637,0.0,0.01916666384263288,0.09669904878563074,0.19820943518403053,0.01916666384263288,0.15935813779597807,0.12027414544195693,0.01916666384263288,0.2085335835383495,0.091911640884971,-0.018587920609432707,0.03675985610960077,0.0470790155172006,0.10151722149617269
6,0.95,0.002,,0.06710479367604637,0.0,0.01916666384263288,0.09669904878563074,0.19820943518403053,0.01916666384263288,0.15935813779597807,0.12027414544195693,0.01916666384263288,0.2085335835383495,0.091911640884971,-0.018587920609432707,0.03675985610960077,0.0470790155172006,0.10151722149617269
7,0.9,0.0,,0.028885981068693663,0.0,-0.0007131415544141539,0.08083058048466052,-0.008822670208950053,-0.014522482747929999,0.0758712031948644,-0.19140968030559719,0.003301632182799441,0.3112182959184343,0.01060873421035873,-0.0033543928187147035,0.058017568812387926,0.031030358769530322,0.09615447583978598
7,0.9,0.002,,0.03088598106869366,0.0,-0.0007131415544141539,0.08083058048466052,-0.008822670208950053,-0.014522482747929999,0.0758712031948644,-0.19140968030559719,0.003301632182799441,0.3112182959184343,0.01060873421035873,-0.0033543928187147035,0.058017568812387926,0.031030358769530322,0.09615447583978598
7,0.95,0.0,,0.052896849590339266,0.0,0.013077326247953325,0.08470097954038014,0.15439403793103565,-0.014522482747929999,0.0886231948772368,-0.1638677410360451,0.003301632182799441,0.3112182959184343,0.01060873421035873,-0.021783486360002272,0.058248432465166644,0.05427427070709017,0.08470097954038014
7,0.95,0.002,,0.05489684959033927,0.0,0.013077326247953325,0.08470097954038014,0.15439403793103565,-0.014522482747929999,0.0886231948772368,-0.1638677410360451,0.003301632182799441,0.3112182959184343,0.01060873421035873,-0.021783486360002272,0.058248432465166644,0.05427427070709017,0.08470097954038014
8,0.9,0.0,,0.05234584680371724,0.0,0.012980817074899287,0.17148634764899573,0.07569592129554756,0.09080353177253264,0.1384931943415706,0.6556533857438563,0.11791406536363613,0.13314264473882775,0.8856220754434918,-0.019928319007662478,0.05448763797774703,0.048854563208942325,0.11513343746476175
8,0.9,0.002,,0.05434584680371724,0.0,0.012980817074899287,0.17148634764899573,0.07569592129554756,0.09080353177253264,0.1384931943415706,0.6556533857438563,0.11791406536363613,0.13314264473882775,0.8856220754434918,-0.019928319007662478,0.05448763797774703,0.048854563208942325,0.11513343746476175
8,0.95,0.0,,0.07592575260418963,0.004,0.03456547415268707,0.11893417291934416,0.29062693508725895,0.09080353177253264,0.06933960589416677,1.3095478493362989,0.11791406536363613,0.13314264473882775,0.8856220754434918,-0.019829612034960434,0.05451572245278757,0.042288175869217515,0.11901749550331754
8,0.95,0.002,,0.07792575260418963,0.004,0.03456547415268707,0.11893417291934416,0.29062693508725895,0.09080353177253264,0.06933960589416677,1.3095478493362989,0.11791406536363613,0.13314264473882775,0.8856220754434918,-0.019829612034960434,0.05451572245278757,0.042288175869217515,0.11901749550331754
9,0.9,0.0,,0.05221211344397804,0.0,-0.017900865071012406,0.09437780960788267,-0.18967239381149276,-0.007776132988465356,0.14317167903684191,-0.054313346332023865,-0.0040848876369936615,0.16175907583773896,-0.025252911565167603,-0.03646874615820433,0.08048268311612433,0.021475705711822612,0.09437780960788267
9,0.9,0.002,,0.05421211344397804,0.0,-0.017900865071012406,0.09437780960788267,-0.18967239381149276,-0.007776132988465356,0.14317167903684191,-0.054313346332023865,-0.0040848876369936615,0.16175907583773896,-0.025252911565167603,-0.03646874615820433,0.08048268311612433,0.021475705711822612,0.09437780960788267
