feature,gain,split
rv_20,523.6906967759132,80
atr_14,437.9461911916733,70
sma5_over_20,309.3986337482929,56
vol_z_60,259.0655791759491,44
dist_sma20,255.93140149116516,45
ret_1,252.7674819380045,61
vol_ratio_20,236.5864908695221,43
ret_5,208.2791592925787,46
rsi_14,197.63663053512573,36
ret_20,0.0,0
logret_1,0.0,0
