fold,alpha,qbuf,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,accepted,skipped,days,status,mu_final,phi_final,db_iters,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
1,0.9,0.0,0.041538970200111866,0.012673836410334252,0.1523791005171835,0.015715651326921765,9.696009242464537,0.2681141172919692,0.08259450213690323,3.246149687391551,0.41488010110643025,0.08428632977249928,4.922270339997604,-0.05937958107415316,0.03262117861106306,0.026814077593385197,0.06572469852191853,16.0,38.0,259.0,ok,1.9122801616595235,0.0,2.0,9.115953517872555,3.2073175919258072,4.864555693897488
1,0.9,0.002,0.04353897020011187,0.012673836410334252,0.1523791005171835,0.015715651326921765,9.696009242464537,0.2681141172919692,0.08259450213690323,3.246149687391551,0.41488010110643025,0.08428632977249928,4.922270339997604,-0.05937958107415316,0.03262117861106306,0.026814077593385197,0.06572469852191853,16.0,38.0,259.0,ok,1.9122801616595235,0.0,2.0,9.115953517872555,3.2073175919258072,4.864555693897488
1,0.95,0.0,0.06355659459272787,0.012673836410334252,0.20351078525821942,0.017690849117425134,11.503731895930612,0.2401015585965649,0.08259450213690323,2.90699201986336,0.41488010110643025,0.08428632977249928,4.922270339997604,-0.05435187403598678,0.03262117861106306,0.030280262829186992,0.061971742432096154,20.0,42.0,259.0,ok,2.28157070467771,6.938893903907228e-18,2.0,10.888257883826693,2.872217101112094,4.864555693897488
1,0.95,0.002,0.06555659459272788,0.012673836410334252,0.20351078525821942,0.017690849117425134,11.503731895930612,0.2401015585965649,0.08259450213690323,2.90699201986336,0.41488010110643025,0.08428632977249928,4.922270339997604,-0.05435187403598678,0.03262117861106306,0.030280262829186992,0.061971742432096154,20.0,42.0,259.0,ok,2.28157070467771,6.938893903907228e-18,2.0,10.888257883826693,2.872217101112094,4.864555693897488
2,0.9,0.0,0.04568946731885431,0.012786577114409562,-0.026428407456938863,0.025393093104465803,-1.040771494367143,-0.07033110842683843,0.06763682428381712,-1.0398345749013227,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.026273803753788072,0.0,0.0,0.01914919348805799,3.0,1.0,242.0,ok,9.868906667322305,0.0,2.0,-1.001338014924332,-1.0246847688642375,0.811672710100654
2,0.9,0.002,0.04768946731885431,0.012786577114409562,-0.026428407456938863,0.025393093104465803,-1.040771494367143,-0.07033110842683843,0.06763682428381712,-1.0398345749013227,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.026273803753788072,0.0,0.0,0.01914919348805799,3.0,1.0,242.0,ok,9.868906667322305,0.0,2.0,-1.001338014924332,-1.0246847688642375,0.811672710100654
2,0.95,0.0,0.05425031448946237,0.012786577114409562,0.07278625930689753,0.024767143374558542,2.938823351814787,0.2115093276254847,0.07085625222672509,2.9850481923415786,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.024759526621957413,0.03938609776790951,0.006365799543573744,0.05627694879605294,7.0,9.0,242.0,ok,13.85437559243054,0.0,2.0,2.8247702218618382,2.9435062513157235,0.811672710100654
2,0.95,0.002,0.05625031448946237,0.012786577114409562,0.07278625930689753,0.024767143374558542,2.938823351814787,0.2115093276254847,0.07085625222672509,2.9850481923415786,0.11915791925909858,0.14580537829628648,0.8172395329406954,-0.024759526621957413,0.03938609776790951,0.006365799543573744,0.05627694879605294,7.0,9.0,242.0,ok,13.85437559243054,0.0,2.0,2.8247702218618382,2.9435062513157235,0.811672710100654
3,0.9,0.0,0.05523473024584273,0.013217950018122423,0.16148052716481764,0.03872149111708467,4.170307560639609,0.27171048288557853,0.0535698393130436,5.072079482967953,0.11068013125592757,0.0896620236845268,1.23441482477969,-0.0015369241967359447,0.034331118009296446,0.021676431685063086,0.05805394855547909,17.0,46.0,258.0,ok,22.035598244706712,0.0,3.0,4.065318864511685,4.979132911256946,1.220799258144259
3,0.9,0.002,0.05723473024584273,0.013217950018122423,0.16148052716481764,0.03872149111708467,4.170307560639609,0.27171048288557853,0.0535698393130436,5.072079482967953,0.11068013125592757,0.0896620236845268,1.23441482477969,-0.0015369241967359447,0.034331118009296446,0.021676431685063086,0.05805394855547909,17.0,46.0,258.0,ok,22.035598244706712,0.0,3.0,4.065318864511685,4.979132911256946,1.220799258144259
